37.6 100 200 300 400 
37.7 100 200 300 400 
37.8 100 200 300 400 
37.9 100 200 300 400 
38 100 200 300 400 
38.1 100 200 300 400 
38.2 100 200 300 400 
38.3 100 200 300 400 
38.4 100 200 300 400 
38.5 100 200 300 400 
38.6 100 200 300 400 
38.7 100 200 300 400 
38.8 100 200 300 400 
38.9 100 200 300 400 
39 100 200 300 400 
39.1 100 200 300 400 
39.2 100 200 300 400 
39.3 100 200 300 400 
39.4 100 200 300 400 
39.5 100 200 300 400 
39.6 100 200 300 400 
39.7 100 200 300 400 
39.8 100 200 300 400 
39.9 100 200 300 400 
40 100 200 300 400 
40.1 100 200 300 400 
40.2 100 200 300 400 
40.3 100 200 300 400 
40.4 100 200 300 400 
40.5 100 200 300 400 
40.6 100 200 300 400 
40.7 100 200 300 400 
40.8 100 200 300 400 
40.9 100 200 300 400 
41 100 200 300 400 
41.1 100 200 300 400 
41.2 100 200 300 400 
41.3 100 200 300 400 
41.4 100 200 300 400 
41.5 100 200 300 400 
41.6 100 200 300 400 
41.7 100 200 300 400 
41.8 100 200 300 400 
41.9 100 200 300 400 
42 100 200 300 400 
42.1 100 200 300 400 
42.2 100 200 300 400 
42.3 100 200 300 400 
42.4 100 200 300 400 
42.5 100 200 300 400 
42.6 100 200 300 400 
42.7 100 200 300 400 
42.8 100 200 300 400 
42.9 100 200 300 400 
43 100 200 300 400 
43.1 100 200 300 400 
43.2 100 200 300 400 
43.3 100 200 300 400 
43.4 100 200 300 400 
43.5 100 200 300 400 
43.6 100 200 300 400 
43.7 100 200 300 400 
43.8 100 200 300 400 
43.9 100 200 300 400 
44 100 200 300 400 
44.1 100 200 300 400 
44.2 100 200 300 400 
44.3 100 200 300 400 
44.4 100 200 300 400 
44.5 100 200 300 400 
44.6 100 200 300 400 
44.7 100 200 300 400 
44.8 100 200 300 400 
44.9 100 200 300 400 
45 100 200 300 400 
45.1 100 200 300 400 
45.2 100 200 300 400 
45.3 100 200 300 400 
45.4 100 200 300 400 
45.5 100 200 300 400 
45.6 100 200 300 400 
45.7 100 200 300 400 
45.8 100 200 300 400 
45.9 100 200 300 400 
46 100 200 300 400 
46.1 100 200 300 400 
46.2 100 200 300 400 
46.3 100 200 300 400 
46.4 100 200 300 400 
46.5 100 200 300 400 
46.6 100 200 300 400 
46.7 100 200 300 400 
46.8 100 200 300 400 
46.9 100 200 300 400 
47 100 200 300 400 
47.1 100 200 300 400 
47.2 100 200 300 400 
47.3 100 200 300 400 
47.4 100 200 300 400 
47.5 100 200 300 400 
47.6 100 200 300 400 
47.7 100 200 300 400 
47.8 100 200 300 400 
47.9 100 200 300 400 
48 100 200 300 400 
48.1 100 200 300 400 
48.2 100 200 300 400 
48.3 100 200 300 400 
48.4 100 200 300 400 
48.5 100 200 300 400 
48.6 100 200 300 400 
48.7 100 200 300 400 
48.8 100 200 300 400 
48.9 100 200 300 400 
49 100 200 300 400 
49.1 100 200 300 400 
49.2 100 200 300 400 
49.3 100 200 300 400 
49.4 100 200 300 400 
