timestamp Sensor_01 Sensor_02 Cluster_02
91.8000000000 0.1467658816 0.8532341184 1.0000000000
91.9000000000 0.1467658816 0.8532341184 1.0000000000
92.0000000000 0.1467658816 0.8532341184 1.0000000000
92.1000000000 0.1467658816 0.8532341184 1.0000000000
92.2000000000 0.1467658816 0.8532341184 1.0000000000
92.3000000000 0.1467658816 0.8532341184 1.0000000000
92.4000000000 0.1467658816 0.8532341184 1.0000000000
92.5000000000 0.1467658816 0.8532341184 1.0000000000
92.6000000000 0.1467658816 0.8532341184 1.0000000000
92.7000000000 0.1467658816 0.8532341184 1.0000000000
92.8000000000 0.1467658816 0.8532341184 1.0000000000
92.9000000000 0.1467658816 0.8532341184 1.0000000000
93.0000000000 0.1467658816 0.8532341184 1.0000000000
93.1000000000 0.1467658816 0.8532341184 1.0000000000
93.2000000000 0.1467658816 0.8532341184 1.0000000000
93.3000000000 0.1467658816 0.8532341184 1.0000000000
93.4000000000 0.1467658816 0.8532341184 1.0000000000
93.5000000000 0.1467658816 0.8532341184 1.0000000000
93.6000000000 0.1467658816 0.8532341184 1.0000000000
93.7000000000 0.1467658816 0.8532341184 1.0000000000
93.8000000000 0.1467658816 0.8532341184 1.0000000000
93.9000000000 0.1467658816 0.8532341184 1.0000000000
94.0000000000 0.1467658816 0.8532341184 1.0000000000
94.1000000000 0.1467658816 0.8532341184 1.0000000000
94.2000000000 0.1467658816 0.8532341184 1.0000000000
94.3000000000 0.1467658816 0.8532341184 1.0000000000
94.4000000000 0.1467658816 0.8532341184 1.0000000000
94.5000000000 0.1467658816 0.8532341184 1.0000000000
94.6000000000 0.1467658816 0.8532341184 1.0000000000
94.7000000000 0.1467658816 0.8532341184 1.0000000000
94.8000000000 0.1467658816 0.8532341184 1.0000000000
94.9000000000 0.1467658816 0.8532341184 1.0000000000
95.0000000000 0.1467658816 0.8532341184 1.0000000000
95.1000000000 0.1467658816 0.8532341184 1.0000000000
95.2000000000 0.1467658816 0.8532341184 1.0000000000
95.3000000000 0.1467658816 0.8532341184 1.0000000000
95.4000000000 0.1467658816 0.8532341184 1.0000000000
95.5000000000 0.1467658816 0.8532341184 1.0000000000
95.6000000000 0.1467658816 0.8532341184 1.0000000000
95.7000000000 0.1467658816 0.8532341184 1.0000000000
95.8000000000 0.1467658816 0.8532341184 1.0000000000
95.9000000000 0.1467658816 0.8532341184 1.0000000000
96.0000000000 0.1467658816 0.8532341184 1.0000000000
96.1000000000 0.1467658816 0.8532341184 1.0000000000
96.2000000000 0.1467658816 0.8532341184 1.0000000000
96.3000000000 0.1467658816 0.8532341184 1.0000000000
96.4000000000 0.1467658816 0.8532341184 1.0000000000
96.5000000000 0.1467658816 0.8532341184 1.0000000000
96.6000000000 0.1467658816 0.8532341184 1.0000000000
96.7000000000 0.1467658816 0.8532341184 1.0000000000
96.8000000000 0.1467658816 0.8532341184 1.0000000000
96.9000000000 0.1467658816 0.8532341184 1.0000000000
97.0000000000 0.1467658816 0.8532341184 1.0000000000
97.1000000000 0.1467658816 0.8532341184 1.0000000000
97.2000000000 0.1467658816 0.8532341184 1.0000000000
97.3000000000 0.1467658816 0.8532341184 1.0000000000
97.4000000000 0.1467658816 0.8532341184 1.0000000000
97.5000000000 0.1467658816 0.8532341184 1.0000000000
97.6000000000 0.1467658816 0.8532341184 1.0000000000
97.7000000000 0.1467658816 0.8532341184 1.0000000000
97.8000000000 0.1467658816 0.8532341184 1.0000000000
97.9000000000 0.1467658816 0.8532341184 1.0000000000
98.0000000000 0.1467658816 0.8532341184 1.0000000000
98.1000000000 0.1467658816 0.8532341184 1.0000000000
98.2000000000 0.1467658816 0.8532341184 1.0000000000
98.3000000000 0.1467658816 0.8532341184 1.0000000000
98.4000000000 0.1467658816 0.8532341184 1.0000000000
98.5000000000 0.1467658816 0.8532341184 1.0000000000
98.6000000000 0.1467658816 0.8532341184 1.0000000000
98.7000000000 0.1467658816 0.8532341184 1.0000000000
98.8000000000 0.1467658816 0.8532341184 1.0000000000
98.9000000000 0.1467658816 0.8532341184 1.0000000000
99.0000000000 0.1467658816 0.8532341184 1.0000000000
99.1000000000 0.1467658816 0.8532341184 1.0000000000
99.2000000000 0.1467658816 0.8532341184 1.0000000000
99.3000000000 0.1467658816 0.8532341184 1.0000000000
99.4000000000 0.1467658816 0.8532341184 1.0000000000
99.5000000000 0.1467658816 0.8532341184 1.0000000000
99.6000000000 0.1467658816 0.8532341184 1.0000000000
99.7000000000 0.1467658816 0.8532341184 1.0000000000
99.8000000000 0.1467658816 0.8532341184 1.0000000000
99.9000000000 0.1467658816 0.8532341184 1.0000000000
100.0000000000 0.1467658816 0.8532341184 1.0000000000
100.1000000000 0.1467658816 0.8532341184 1.0000000000
100.2000000000 0.1467658816 0.8532341184 1.0000000000
100.3000000000 0.1467658816 0.8532341184 1.0000000000
100.4000000000 0.1467658816 0.8532341184 1.0000000000
100.5000000000 0.1467658816 0.8532341184 1.0000000000
100.6000000000 0.1467658816 0.8532341184 1.0000000000
100.7000000000 0.1467658816 0.8532341184 1.0000000000
100.8000000000 0.1467658816 0.8532341184 1.0000000000
100.9000000000 0.1467658816 0.8532341184 1.0000000000
101.0000000000 0.1467658816 0.8532341184 1.0000000000
101.1000000000 0.1467658816 0.8532341184 1.0000000000
101.2000000000 0.1467658816 0.8532341184 1.0000000000
101.3000000000 0.1467658816 0.8532341184 1.0000000000
101.4000000000 0.1467658816 0.8532341184 1.0000000000
101.5000000000 0.1467658816 0.8532341184 1.0000000000
101.6000000000 0.1467658816 0.8532341184 1.0000000000
101.7000000000 0.1467658816 0.8532341184 1.0000000000
101.8000000000 0.1467658816 0.8532341184 1.0000000000
101.9000000000 0.1467658816 0.8532341184 1.0000000000
102.0000000000 0.1467658816 0.8532341184 1.0000000000
102.1000000000 0.1467658816 0.8532341184 1.0000000000
102.2000000000 0.1467658816 0.8532341184 1.0000000000
102.3000000000 0.1467658816 0.8532341184 1.0000000000
102.4000000000 0.1467658816 0.8532341184 1.0000000000
102.5000000000 0.1467658816 0.8532341184 1.0000000000
102.6000000000 0.1467658816 0.8532341184 1.0000000000
102.7000000000 0.1467658816 0.8532341184 1.0000000000
102.8000000000 0.1467658816 0.8532341184 1.0000000000
102.9000000000 0.1467658816 0.8532341184 1.0000000000
103.0000000000 0.1467658816 0.8532341184 1.0000000000
103.1000000000 0.1467658816 0.8532341184 1.0000000000
103.2000000000 0.1467658816 0.8532341184 1.0000000000
103.3000000000 0.1467658816 0.8532341184 1.0000000000
103.4000000000 0.1467658816 0.8532341184 1.0000000000
103.5000000000 0.1467658816 0.8532341184 1.0000000000
103.6000000000 0.1467658816 0.8532341184 1.0000000000
103.7000000000 0.1467658816 0.8532341184 1.0000000000
103.8000000000 0.1467658816 0.8532341184 1.0000000000
103.9000000000 0.1467658816 0.8532341184 1.0000000000
104.0000000000 0.1467658816 0.8532341184 1.0000000000
104.1000000000 0.1467658816 0.8532341184 1.0000000000
